Username,Date,Content,Likes,Retweets
"Sha ♡ BTS⁷ ⟭⟬
@LachiMoLaLa1710","11:07 AM · Jul 11, 2020","Im not from Sengkang but THANK YOU SENGKANG RESIDENTS !!!!!
Jamus deserve the vote .#GE2020SG",0.0,12 s
"Meem
@meemnordin","10:28 AM · Jul 11, 2020",Why is Ivan Lim in Jurong GRC’s victory speech? Who voted for you? #GE2020SG #GE2020 #SGElection,3.0,3 s
"lav / ia
@parekhperalta","10:25 AM · Jul 11, 2020",HE’S SO CUTE PLS YOU WINNING WARMS THE COCKLES OF OUR HEART AHHAHAHA #GE2020SG,2.0,6 s
"mrbrown
@mrbrown","10:24 AM · Jul 11, 2020","Marymount, you all finish your area cleaning and 5BX liao or not?

#sgelections #ge2020 #ge2020sg",97.0,282 s
"Hakim Nah
@kimnaise","10:19 AM · Jul 11, 2020","#GE2020SG opinions aside, let’s see if SG can win China in this friendly! China has been running riot vs Europe so it’s a tough task",0.0,0
"MANGOBRIYANI
@dasxtej","10:14 AM · Jul 11, 2020",i blame the pioneer generation for this fuckery! #GE2020SG #sgelections,49.0,138 s
"Chinix
@Chin_ix","10:01 AM · Jul 11, 2020",I know not all of you are from Singapore but finally Singapore is starting to look a bit more democratic with 10 seats given to opposition! #GE2020SG,0.0,2 s
"faiosman
@faiosman","9:57 AM · Jul 11, 2020","#GE2020: Ok we have our seats ready for this pandemic. Rest of the world, all the best on your choosing candidate in this elections. #GE2020SG",0.0,1
"Think About It
@ThinkAboutItS2","8:10 AM · Jul 11, 2020","Are sample counts even accurate?

Which sample count was over 5% off?

Full details at: https://pinklminerz.wixsite.com/thinkaboutit/post/how-accurate-are-sample-votes…

#GE2020 #GE2020SG",0.0,0
"Menfari's Boy@Herman
@MenfariB","8:04 AM · Jul 11, 2020","Oh well, same old same old
#GE2020SG",0.0,0
"KY
@republicocities","7:57 AM · Jul 11, 2020","i’m kinda glad what we did today is to chip away at their dominance, and building our strength incrementally - this old fogey will go one day, and we’ll be ready when it does. #GE2020SG",0.0,1
"xtemujin360Resources
@xtemujin","7:54 AM · Jul 11, 2020",Nice result graphic for the 2020GE. #GE2020 #GE2020SG,0.0,1
"xtemujin360Resources
@xtemujin","7:51 AM · Jul 11, 2020","Here's the percentage vote change for the PAP this General Election 2020 versus the previous general election in 2015. From the results, there is a clear vote swing away from PAP towards the opposition. #GE2020 #GE2020SG 

https://facebook.com/Vulcanpost/",3.0,4 s
